loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/rejected,logps/chosen,logits/rejected,logits/chosen,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.668,2.113584041595459,4.8571428571428576e-05,-0.0010694540105760098,-0.05275794118642807,0.824999988079071,0.051688484847545624,-316.6041259765625,-240.8377227783203,2.026265859603882,1.7563155889511108,0.02666666666666667,10,,,,,
0.6076,1.8436768054962158,4.714285714285714e-05,-0.035120636224746704,-0.21750995516777039,0.987500011920929,0.18238934874534607,-326.0164794921875,-295.6739807128906,2.5419821739196777,2.454881429672241,0.05333333333333334,20,,,,,
0.5475,1.971117377281189,4.5714285714285716e-05,-0.054930828511714935,-0.38562482595443726,0.949999988079071,0.3306940197944641,-306.62249755859375,-267.542236328125,2.573942184448242,2.227987766265869,0.08,30,,,,,
0.5014,1.7863010168075562,4.428571428571428e-05,-0.10689039528369904,-0.5694476962089539,0.9750000238418579,0.462557315826416,-315.60235595703125,-258.02459716796875,2.4600613117218018,1.9934841394424438,0.10666666666666667,40,,,,,
0.4561,1.4844295978546143,4.2857142857142856e-05,-0.14162613451480865,-0.7353800535202026,0.9750000238418579,0.5937538743019104,-283.20550537109375,-219.0178680419922,2.5542221069335938,2.171372890472412,0.13333333333333333,50,,,,,
0.388,1.871455430984497,4.1571428571428575e-05,-0.2466084063053131,-1.0853497982025146,0.9624999761581421,0.8387414216995239,-321.0801696777344,-289.49053955078125,2.9204025268554688,2.348707675933838,0.16,60,,,,,
0.3491,1.5920461416244507,4.014285714285714e-05,-0.3077264428138733,-1.3649481534957886,0.9750000238418579,1.05722177028656,-316.41680908203125,-289.0506896972656,2.7501907348632812,2.4842381477355957,0.18666666666666668,70,,,,,
0.2967,1.1898220777511597,3.8714285714285715e-05,-0.36181896924972534,-1.636667251586914,0.9750000238418579,1.2748483419418335,-302.7445068359375,-244.8084716796875,2.521968364715576,2.02815318107605,0.21333333333333335,80,,,,,
0.2835,1.19117271900177,3.728571428571428e-05,-0.40308842062950134,-1.872606635093689,0.949999988079071,1.4695183038711548,-298.4526062011719,-246.0666961669922,2.778697967529297,2.1426103115081787,0.24,90,,,,,
0.2796,1.2605223655700684,3.585714285714286e-05,-0.5631340146064758,-2.1075515747070312,0.949999988079071,1.5444176197052002,-303.2310791015625,-254.50741577148438,2.7867610454559326,2.1329166889190674,0.26666666666666666,100,,,,,
0.2304,1.4136842489242554,3.442857142857143e-05,-0.6882637143135071,-2.414501667022705,0.949999988079071,1.7262378931045532,-319.4632568359375,-258.39202880859375,2.881730556488037,2.1912379264831543,0.29333333333333333,110,,,,,
0.17,0.7430856227874756,3.3e-05,-0.8384100794792175,-3.016146183013916,0.987500011920929,2.177736520767212,-385.4300842285156,-326.49658203125,3.1668038368225098,2.8236327171325684,0.32,120,,,,,
0.2128,1.2423350811004639,3.1571428571428576e-05,-0.9422613978385925,-3.167484760284424,0.9624999761581421,2.2252233028411865,-347.92010498046875,-296.6634826660156,3.178609848022461,2.5608580112457275,0.3466666666666667,130,,,,,
0.2154,1.7781665325164795,3.0142857142857146e-05,-0.876325786113739,-3.2013893127441406,0.9375,2.325063467025757,-305.5644226074219,-238.99539184570312,2.582765579223633,2.089048147201538,0.37333333333333335,140,,,,,
0.1962,0.9709632992744446,2.8714285714285716e-05,-0.9857412576675415,-3.5887534618377686,0.9375,2.6030120849609375,-359.50885009765625,-307.7929992675781,2.704251289367676,2.1656291484832764,0.4,150,,,,,
0.2373,4.388927459716797,2.7285714285714286e-05,-1.0809634923934937,-3.5730319023132324,0.949999988079071,2.49206805229187,-327.3281555175781,-259.3658447265625,2.550208568572998,1.994179129600525,0.4266666666666667,160,,,,,
0.1682,1.3747289180755615,2.5857142857142856e-05,-1.148428201675415,-3.8606162071228027,0.949999988079071,2.7121880054473877,-341.4057312011719,-239.795654296875,3.0980467796325684,2.254464864730835,0.4533333333333333,170,,,,,
0.1368,0.5279175639152527,2.442857142857143e-05,-1.0542500019073486,-4.026894569396973,0.9750000238418579,2.972644329071045,-330.183837890625,-228.28738403320312,3.3541183471679688,2.5202558040618896,0.48,180,,,,,
0.143,0.6075674891471863,2.3000000000000003e-05,-1.052018404006958,-4.2743024826049805,0.9750000238418579,3.2222836017608643,-361.6470947265625,-251.3750762939453,3.194065570831299,2.2732107639312744,0.5066666666666667,190,,,,,
0.116,1.5212112665176392,2.1571428571428574e-05,-1.0745751857757568,-4.3303022384643555,0.9750000238418579,3.2557270526885986,-353.11480712890625,-247.7633056640625,2.9798717498779297,2.159942150115967,0.5333333333333333,200,,,,,
0.1364,0.4621155261993408,2.0142857142857144e-05,-1.4322704076766968,-4.7840399742126465,0.987500011920929,3.3517696857452393,-380.74713134765625,-271.4194641113281,2.810276508331299,1.9716432094573975,0.56,210,,,,,
0.1249,1.0027793645858765,1.8714285714285714e-05,-1.1323801279067993,-4.426815032958984,0.9750000238418579,3.2944347858428955,-355.23199462890625,-263.99359130859375,2.6578774452209473,2.0386977195739746,0.5866666666666667,220,,,,,
0.1564,2.070904493331909,1.7285714285714287e-05,-1.2603774070739746,-4.936945915222168,0.9624999761581421,3.6765685081481934,-336.7355651855469,-246.7570343017578,2.8179805278778076,2.089035987854004,0.6133333333333333,230,,,,,
0.136,0.9667122960090637,1.5857142857142857e-05,-1.3189431428909302,-4.838112831115723,0.9750000238418579,3.519169569015503,-327.67852783203125,-237.52078247070312,2.957785129547119,2.1631507873535156,0.64,240,,,,,
0.1153,1.099435567855835,1.442857142857143e-05,-1.2961657047271729,-4.830130100250244,0.987500011920929,3.533964157104492,-361.40057373046875,-244.92941284179688,3.1792874336242676,2.467742443084717,0.6666666666666666,250,,,,,
0.1007,1.1479899883270264,1.3000000000000001e-05,-1.4074409008026123,-5.192018508911133,0.987500011920929,3.7845776081085205,-351.6759338378906,-243.72494506835938,2.545846939086914,1.8289844989776611,0.6933333333333334,260,,,,,
0.1211,3.0176279544830322,1.1571428571428573e-05,-1.6578048467636108,-5.581599712371826,0.9750000238418579,3.923794984817505,-358.55682373046875,-266.37445068359375,2.7314813137054443,2.0757412910461426,0.72,270,,,,,
0.2066,1.85465669631958,1.0142857142857143e-05,-1.6939113140106201,-5.054325103759766,0.949999988079071,3.3604137897491455,-347.98388671875,-290.25457763671875,2.729644775390625,2.4375476837158203,0.7466666666666667,280,,,,,
0.1403,0.888825535774231,8.714285714285715e-06,-1.4811437129974365,-5.2320098876953125,0.987500011920929,3.750865936279297,-313.267578125,-211.8077392578125,2.8543975353240967,1.989885687828064,0.7733333333333333,290,,,,,
0.1067,1.3210431337356567,7.285714285714286e-06,-1.4251638650894165,-5.309607982635498,0.9750000238418579,3.88444447517395,-345.2597961425781,-245.59658813476562,2.746152877807617,2.1330647468566895,0.8,300,,,,,
0.1216,1.284128189086914,5.857142857142857e-06,-1.5779809951782227,-5.539963722229004,0.9750000238418579,3.961982250213623,-341.6180114746094,-261.6457824707031,2.9998691082000732,2.098736524581909,0.8266666666666667,310,,,,,
0.1171,1.132588267326355,4.571428571428572e-06,-1.650516152381897,-6.035109043121338,0.949999988079071,4.3845930099487305,-365.9638671875,-282.8229064941406,2.7998452186584473,2.4786667823791504,0.8533333333333334,320,,,,,
0.1256,0.6785863637924194,3.1428571428571433e-06,-1.5933053493499756,-5.910574913024902,0.9750000238418579,4.317269325256348,-352.84759521484375,-261.3245849609375,2.654937982559204,1.9586092233657837,0.88,330,,,,,
0.1081,3.970808744430542,1.7142857142857145e-06,-1.4975223541259766,-5.567981719970703,0.9624999761581421,4.070459365844727,-358.7503967285156,-267.4940490722656,2.9193978309631348,2.468007802963257,0.9066666666666666,340,,,,,
0.1325,0.5304205417633057,2.8571428571428575e-07,-1.527345061302185,-6.053035259246826,0.949999988079071,4.525690078735352,-372.2268981933594,-269.8630065917969,2.827683687210083,1.9473421573638916,0.9333333333333333,350,,,,,
,,,,,,,,,,,0.9333333333333333,350,386.8132,7.239,0.905,0.0,0.23294087546212333
